title,publication_year
"The Lion, the Witch and the Wardrobe",1950
Prince Caspian,1951
The Old Man and the Sea,1952
The Voyage of the Dawn Treader,1952
The Lord of the Rings: The Fellowship of the Ring,1954
The Lord of the Rings: The Two Towers,1954
The Lord of the Rings: The Return of the King,1955
To Kill a Mockingbird,1960
One Hundred Years of Solitude,1967
The Silmarillion,1977
Love in the Time of Cholera,1985
Harry Potter and the Sorcerer's Stone,1997
Harry Potter and the Chamber of Secrets,1998
Harry Potter and the Prisoner of Azkaban,1999
