title,publication_year,author
A Study in Scarlet,1887,Arthur Conan Doyle
The Hound of the Baskervilles,1902,Arthur Conan Doyle
Prince Caspian,1951,C.S. Lewis
"The Lion, the Witch and the Wardrobe",1950,C.S. Lewis
The Voyage of the Dawn Treader,1952,C.S. Lewis
A Tale of Two Cities,1859,Charles Dickens
David Copperfield,1850,Charles Dickens
Great Expectations,1861,Charles Dickens
A Farewell to Arms,1929,Ernest Hemingway
For Whom the Bell Tolls,1940,Ernest Hemingway
The Old Man and the Sea,1952,Ernest Hemingway
Tender is the Night,1934,F. Scott Fitzgerald
The Great Gatsby,1925,F. Scott Fitzgerald
Love in the Time of Cholera,1985,Gabriel Garcia Marquez
One Hundred Years of Solitude,1967,Gabriel Garcia Marquez
1984,1949,George Orwell
Animal Farm,1945,George Orwell
To Kill a Mockingbird,1960,Harper Lee
Moby-Dick,1851,Herman Melville
Harry Potter and the Chamber of Secrets,1998,J.K. Rowling
Harry Potter and the Prisoner of Azkaban,1999,J.K. Rowling
Harry Potter and the Sorcerer's Stone,1997,J.K. Rowling
The Hobbit,1937,J.R.R. Tolkien
The Lord of the Rings: The Fellowship of the Ring,1954,J.R.R. Tolkien
The Lord of the Rings: The Return of the King,1955,J.R.R. Tolkien
The Lord of the Rings: The Two Towers,1954,J.R.R. Tolkien
The Silmarillion,1977,J.R.R. Tolkien
Emma,1815,Jane Austen
Mansfield Park,1814,Jane Austen
Pride and Prejudice,1813,Jane Austen
Sense and Sensibility,1811,Jane Austen
Of Mice and Men,1937,John Steinbeck
The Grapes of Wrath,1939,John Steinbeck
Anna Karenina,1877,Leo Tolstoy
War and Peace,1869,Leo Tolstoy
Little Women,1868,Louisa May Alcott
Adventures of Huckleberry Finn,1884,Mark Twain
The Adventures of Tom Sawyer,1876,Mark Twain
Frankenstein,1818,Mary Shelley
The Picture of Dorian Gray,1890,Oscar Wilde
Mrs Dalloway,1925,Virginia Woolf
To the Lighthouse,1927,Virginia Woolf
