title,publication_year
Harry Potter and the Prisoner of Azkaban,1999
Harry Potter and the Chamber of Secrets,1998
Harry Potter and the Sorcerer's Stone,1997
Love in the Time of Cholera,1985
The Silmarillion,1977
One Hundred Years of Solitude,1967
To Kill a Mockingbird,1960
The Lord of the Rings: The Return of the King,1955
The Lord of the Rings: The Fellowship of the Ring,1954
The Lord of the Rings: The Two Towers,1954
The Old Man and the Sea,1952
The Voyage of the Dawn Treader,1952
Prince Caspian,1951
"The Lion, the Witch and the Wardrobe",1950
1984,1949
Animal Farm,1945
For Whom the Bell Tolls,1940
The Grapes of Wrath,1939
Of Mice and Men,1937
The Hobbit,1937
Tender is the Night,1934
A Farewell to Arms,1929
To the Lighthouse,1927
Mrs Dalloway,1925
The Great Gatsby,1925
The Hound of the Baskervilles,1902
The Picture of Dorian Gray,1890
A Study in Scarlet,1887
Adventures of Huckleberry Finn,1884
Anna Karenina,1877
The Adventures of Tom Sawyer,1876
War and Peace,1869
Little Women,1868
Great Expectations,1861
A Tale of Two Cities,1859
Moby-Dick,1851
David Copperfield,1850
Frankenstein,1818
Emma,1815
Mansfield Park,1814
Pride and Prejudice,1813
Sense and Sensibility,1811
